"7045","134290309","Parc des Berges","Face au n°40 avenue Leclerc","2007-09-21 00:00:00","2085010","793601","45.7378","4.82448"
"7046","134290310","Place de l Ecole","Angle rue de St Cloud","2005-09-20 00:00:00","2084160","793889","45.7301","4.82779"
"7049","134290313","Cité Scolaire Internation","26 avenue Tony Garnier","2006-06-08 00:00:00","2084000","793577","45.7283","4.82365"
"7052","134290316","Université Lyon I","50 avenue Tony Garnier","2006-07-06 00:00:00","2083780","793817","45.7267","4.82612"
"7053","134290317","Jaurès / Thibaudière",,"2006-08-22 00:00:00","2086460","795162","45.7503","4.84519"
"7055","134290319","Servant / Jaboulay","Face au n°30 rue Renan","2006-10-11 00:00:00","2086060","794946","45.7468","4.84201"
"7056","134290320","Place Raspail","Angle cours Gambetta","2007-04-27 00:00:00","2087020","794775","45.7558","4.84069"
"7057","134290321","Jaurès / Bollier","Face au n°219 avenue Jean Jaurès","2007-10-10 00:00:00","2084680","794460","45.7347","4.83545"
"7061","134290325","Jaurès / Université",,"2007-09-09 00:00:00","2086240","795042","45.7485","4.84324"
"7062","134290326","Garibaldi / Domer",,"2007-10-13 00:00:00","2086180","795689","45.7477","4.85159"
"7064","134290328","CROUS","Angle rue Chevreul et rue Camille Roy","2007-09-10 00:00:00","2085910","795408","45.7454","4.84786"
"8001","134291265","Université Lyon III","Devant entrée principale de l université","2005-06-01 00:00:00","2086280","796447","45.7483","4.86149"
"8002","134291266","Place Ambroise Courtois","Face au cours Albert Thomas","2005-10-10 00:00:00","2085950","797251","45.7453","4.87159"
"8003","134291267","Claude Bernard Lyon I","Devant entrée de la fac","2005-06-18 00:00:00","2085270","798419","45.7386","4.88658"
"8004","134291268","Mairie du 8°","Devant la mairie du 8°","2005-05-27 00:00:00","2084850","797329","45.7352","4.87269"
"8006","134291270","Place du 8 mai 1945","Rue Professeur Beauvisage/Angle bd des Etats-Unis","2005-07-05 00:00:00","2084200","797007","45.7297","4.86775"
"8007","134291271","Frères Lumière","Angle rue Villon","2005-06-29 00:00:00","2085900","796836","45.745","4.86643"
"8008","134291272","Beauvisage / Pressensé","Rue du Professeur Beauvisage","2006-05-09 00:00:00","2083990","796654","45.7279","4.86351"
"8009","134291273","Jean XXIII / Mermoz","Boulevard Jean XXIII - Angle de la rue Mermoz","2006-06-09 00:00:00","2084960","797147","45.7366","4.86991"
"8010","134291274","Place Mendès France",,"0000-00-00 00:00:00","2085300","796315","45.74","4.85946"
"8011","134291275","Place Lebret","Côté route de Vienne","2005-07-05 00:00:00","2084810","795833","45.7355","4.85304"
"8015","134291279","Boulevard Jean XXIII","Angle bd Jean XXIII et rue Maryse Bastié","2007-09-11 00:00:00","2085380","797439","45.7403","4.87418"
"8020","134291284","Moulin à Vent","Angle rue du Moulin à Vent / route de Vienne","2007-06-17 00:00:00","2084220","795924","45.7299","4.85387"
"8021","134291285","Paul Santy","Place Général André - Face au 126 avenue Paul Santy","2006-05-10 00:00:00","2084060","797773","45.7283","4.87762"
